date,name,type,value
08/31/2020 09:40:00,3B-05p,pH,8.06
08/31/2020 09:40:00,3B-06p,pH,7.85
08/31/2020 09:40:00,3A-07p,pH,8.11
08/31/2020 09:40:00,3A-08p,pH,7.86
08/31/2020 09:40:00,3B-08p,pH,7.99
08/31/2020 10:50:00,3A-01p,pH,8.15
08/31/2020 10:50:00,3A-02p,pH,7.91
08/31/2020 10:50:00,3A-03p,pH,8.15
08/31/2020 10:50:00,3A-04p,pH,7.68
08/31/2020 10:50:00,3A-05p,pH,8.27
08/31/2020 10:50:00,3A-06p,pH,7.71
08/31/2020 10:50:00,3B-07p,pH,8.31
08/31/2020 10:50:00,3B-01p,pH,8.32
08/31/2020 10:50:00,3B-02p,pH,7.86
08/31/2020 10:50:00,3B-03p,pH,8.15
08/31/2020 10:50:00,3B-04p,pH,7.86
08/31/2020 10:50:00,3B-05p,pH,8.16
08/31/2020 10:50:00,3B-06p,pH,7.93
08/31/2020 10:50:00,3A-07p,pH,8.2
08/31/2020 10:50:00,3A-08p,pH,7.9
08/31/2020 10:50:00,3B-08p,pH,8.18
08/31/2020 12:00:00,3A-01p,pH,8.16
08/31/2020 12:00:00,3A-02p,pH,7.85
08/31/2020 12:00:00,3A-03p,pH,8.21
08/31/2020 12:00:00,3A-04p,pH,7.7
08/31/2020 12:00:00,3A-05p,pH,8.31
08/31/2020 12:00:00,3A-06p,pH,7.83
08/31/2020 12:00:00,3B-07p,pH,8.34
08/31/2020 12:00:00,3B-01p,pH,8.35
08/31/2020 12:00:00,3B-02p,pH,7.87
08/31/2020 12:00:00,3B-03p,pH,8.2
08/31/2020 12:00:00,3B-04p,pH,7.79
08/31/2020 12:00:00,3B-05p,pH,8.2
08/31/2020 12:00:00,3B-06p,pH,7.89
08/31/2020 12:00:00,3A-07p,pH,8.23
08/31/2020 12:00:00,3A-08p,pH,7.93
08/31/2020 12:00:00,3B-08p,pH,8.21
08/31/2020 13:10:00,3A-01p,pH,8.17
08/31/2020 13:10:00,3A-02p,pH,7.87
08/31/2020 13:10:00,3A-03p,pH,8.25
08/31/2020 13:10:00,3A-04p,pH,7.89
08/31/2020 13:10:00,3A-05p,pH,8.32
08/31/2020 13:10:00,3A-06p,pH,7.42
08/31/2020 13:10:00,3B-07p,pH,8.37
08/31/2020 13:10:00,3B-01p,pH,8.37
08/31/2020 13:10:00,3B-02p,pH,7.89
08/31/2020 13:10:00,3B-03p,pH,8.22
08/31/2020 13:10:00,3B-04p,pH,7.8
08/31/2020 13:10:00,3B-05p,pH,8.21
08/31/2020 13:10:00,3B-06p,pH,7.85
08/31/2020 13:10:00,3A-07p,pH,8.28
08/31/2020 13:10:00,3A-08p,pH,7.89
08/31/2020 13:10:00,3B-08p,pH,8.21
08/31/2020 14:20:00,3A-01p,pH,8.19
08/31/2020 14:20:00,3A-02p,pH,7.92
08/31/2020 14:20:00,3A-03p,pH,8.26
08/31/2020 14:20:00,3A-04p,pH,7.83
08/31/2020 14:20:00,3A-05p,pH,8.35
08/31/2020 14:20:00,3A-06p,pH,7.78
08/31/2020 14:20:00,3B-07p,pH,8.39
08/31/2020 14:20:00,3B-01p,pH,8.39
08/31/2020 14:20:00,3B-02p,pH,7.9
08/31/2020 14:20:00,3B-03p,pH,8.26
08/31/2020 14:20:00,3B-04p,pH,7.87
08/31/2020 14:20:00,3B-05p,pH,8.24
08/31/2020 14:20:00,3B-06p,pH,7.76
08/31/2020 14:20:00,3A-07p,pH,8.3
08/31/2020 14:20:00,3A-08p,pH,7.87
08/31/2020 14:20:00,3B-08p,pH,8.24
08/31/2020 15:30:00,3A-01p,pH,8.21
08/31/2020 15:30:00,3A-02p,pH,7.91
08/31/2020 15:30:00,3A-03p,pH,8.37
08/31/2020 15:30:00,3A-04p,pH,7.71
08/31/2020 15:30:00,3A-05p,pH,8.37
08/31/2020 15:30:00,3A-06p,pH,7.18
08/31/2020 15:30:00,3B-07p,pH,8.4
08/31/2020 15:30:00,3B-01p,pH,8.44
08/31/2020 15:30:00,3B-02p,pH,7.42
08/31/2020 15:30:00,3B-03p,pH,8.4
08/31/2020 15:30:00,3B-04p,pH,7.76
08/31/2020 15:30:00,3B-05p,pH,8.27
08/31/2020 15:30:00,3B-06p,pH,7.91
08/31/2020 15:30:00,3A-07p,pH,8.31
08/31/2020 15:30:00,3A-08p,pH,7.87
08/31/2020 15:30:00,3B-08p,pH,8.27
08/31/2020 16:40:00,3A-01p,pH,8.25
08/31/2020 16:40:00,3A-02p,pH,7.91
08/31/2020 16:40:00,3A-03p,pH,8.32
08/31/2020 16:40:00,3A-04p,pH,7.83
08/31/2020 16:40:00,3A-05p,pH,8.45
08/31/2020 16:40:00,3A-06p,pH,7.84
08/31/2020 16:40:00,3B-07p,pH,8.44
08/31/2020 16:40:00,3B-01p,pH,8.43
08/31/2020 16:40:00,3B-02p,pH,7.88
08/31/2020 16:40:00,3B-03p,pH,8.22
08/31/2020 16:40:00,3B-04p,pH,7.86
08/31/2020 16:40:00,3B-05p,pH,8.33
08/31/2020 16:40:00,3B-06p,pH,7.75
08/31/2020 16:40:00,3A-07p,pH,8.32
08/31/2020 16:40:00,3A-08p,pH,7.77
08/31/2020 16:40:00,3B-08p,pH,8.06
08/31/2020 17:50:00,3A-01p,pH,8.29
08/31/2020 17:50:00,3A-02p,pH,7.82
08/31/2020 17:50:00,3A-03p,pH,8.35
