date,value
09/01/2020,26.9
09/01/2020,25.7
09/01/2020,26.9
09/01/2020,26.5
09/01/2020,26.4
09/01/2020,25.4
09/01/2020,25.9
09/01/2020,26.6
09/01/2020,26.3
09/01/2020,26.6
09/01/2020,25.7
09/01/2020,26.6
09/01/2020,26.6
09/01/2020,26.7
09/01/2020,26.5
09/01/2020,26.6
09/01/2020,25.4
09/01/2020,26.6
09/01/2020,26.3
09/01/2020,26.7
09/01/2020,25.5
09/01/2020,25.9
09/01/2020,26.6
09/01/2020,26.1
09/01/2020,26.8
09/01/2020,25.7
09/01/2020,26.7
09/01/2020,26.7
09/01/2020,26.8
09/01/2020,26.7
09/01/2020,26.7
09/01/2020,25.4
09/01/2020,26.7
09/01/2020,26.4
09/01/2020,26.8
09/01/2020,25.5
09/01/2020,26
09/01/2020,26.7
09/01/2020,26.1
09/01/2020,27
09/01/2020,25.7
09/01/2020,26.8
09/01/2020,26.9
09/01/2020,27
09/01/2020,26.8
09/01/2020,26.8
09/01/2020,25.4
09/01/2020,26.8
09/01/2020,26.5
09/01/2020,26.5
09/01/2020,25.3
09/01/2020,25.9
09/01/2020,26.7
09/01/2020,26.2
09/01/2020,26.7
09/01/2020,25.7
09/01/2020,26.6
09/01/2020,26.6
09/01/2020,26.7
09/01/2020,26.6
09/01/2020,26.5
09/01/2020,25.3
09/01/2020,26.6
09/01/2020,26.4
09/01/2020,26.7
09/01/2020,25.5
09/01/2020,26
09/01/2020,26.7
09/01/2020,26.2
09/01/2020,26.9
09/01/2020,25.6
09/01/2020,26.8
09/01/2020,26.8
09/01/2020,26.8
09/01/2020,26.7
09/01/2020,26.7
09/01/2020,25.3
09/01/2020,26.7
09/01/2020,26.5
09/01/2020,26.7
09/01/2020,25.3
09/01/2020,26
09/01/2020,26.7
09/01/2020,26.2
09/01/2020,27
09/01/2020,25.7
09/01/2020,26.8
09/01/2020,26.9
09/01/2020,26.8
09/01/2020,26.8
09/01/2020,26.8
09/01/2020,25.3
09/01/2020,26.8
09/01/2020,26.5
09/01/2020,26.9
09/01/2020,25.5
09/01/2020,26.2
09/01/2020,26.9
09/01/2020,26.4
09/01/2020,27.2
09/01/2020,25.8
09/01/2020,27
09/01/2020,27.1
09/01/2020,27
09/01/2020,27.1
09/01/2020,27.1
09/01/2020,25.7
09/01/2020,27.1
09/01/2020,26.8
09/01/2020,26.8
09/01/2020,25.5
09/01/2020,26.2
09/01/2020,27
09/01/2020,26.4
09/01/2020,27.2
09/01/2020,26
09/01/2020,27
09/01/2020,27.2
09/01/2020,27.1
09/01/2020,27.1
09/01/2020,27.1
09/01/2020,26.2
09/01/2020,27.2
09/01/2020,26.8
09/01/2020,27.1
09/01/2020,25.6
09/01/2020,26.3
09/01/2020,27.1
09/01/2020,26.4
09/01/2020,27.3
09/01/2020,26
09/01/2020,27.2
09/01/2020,27.3
09/01/2020,27.1
09/01/2020,27.2
09/01/2020,27.3
09/01/2020,26.6
09/01/2020,27.3
09/01/2020,27
09/01/2020,27.1
09/01/2020,25.7
09/01/2020,26.5
09/01/2020,27.2
09/01/2020,26.5
09/01/2020,27.4
09/01/2020,26.2
09/01/2020,27.3
09/01/2020,27.4
09/01/2020,27.2
09/01/2020,27.2
09/01/2020,27.5
09/01/2020,26.7
09/01/2020,27.5
09/01/2020,27.1
09/01/2020,27
09/01/2020,25.7
09/01/2020,26.4
09/01/2020,27.1
09/01/2020,26.4
09/01/2020,27.3
09/01/2020,26.1
09/01/2020,27.1
09/01/2020,27.3
09/01/2020,27.1
09/01/2020,27.2
09/01/2020,27.3
09/01/2020,26.6
09/01/2020,27.3
09/01/2020,27
09/01/2020,27
09/01/2020,25.8
09/01/2020,26.5
09/01/2020,27.1
09/01/2020,26.5
09/01/2020,27.3
09/01/2020,26.2
09/01/2020,27.1
09/01/2020,27.3
09/01/2020,27.1
09/01/2020,27.2
09/01/2020,27.3
09/01/2020,26.6
09/01/2020,27.4
09/01/2020,27
09/01/2020,26.8
09/01/2020,25.6
09/01/2020,26.3
09/01/2020,26.9
09/01/2020,26.3
09/01/2020,27
09/01/2020,26.1
09/01/2020,27
09/01/2020,27.1
09/01/2020,26.9
09/01/2020,27
09/01/2020,27.1
09/01/2020,26.4
09/01/2020,27.2
09/01/2020,26.8
09/01/2020,27
09/01/2020,25.4
09/01/2020,26.3
09/01/2020,26.9
09/01/2020,26.3
09/01/2020,27.2
09/01/2020,26.1
09/01/2020,27.1
09/01/2020,27.2
09/01/2020,26.8
09/01/2020,27.1
09/01/2020,27.2
09/01/2020,26.6
09/01/2020,27.3
09/01/2020,26.8
09/01/2020,27.1
09/01/2020,25.3
09/01/2020,26.2
09/01/2020,26.9
09/01/2020,26.6
09/01/2020,27.3
09/01/2020,26.1
09/01/2020,27.1
09/01/2020,27.3
09/01/2020,26.6
09/01/2020,27.2
09/01/2020,27.2
09/01/2020,26.6
09/01/2020,27.3
09/01/2020,26.8
09/01/2020,27.2
09/01/2020,25.2
09/01/2020,26.2
09/01/2020,26.9
09/01/2020,26.8
09/01/2020,27.5
09/01/2020,26
09/01/2020,27.3
09/01/2020,27.4
09/01/2020,26.6
09/01/2020,27.4
09/01/2020,27.3
09/01/2020,26.7
09/01/2020,27.3
09/01/2020,26.9
09/01/2020,27.5
09/01/2020,25.1
09/01/2020,26.3
09/01/2020,27.1
09/01/2020,27
09/01/2020,27.7
09/01/2020,26
09/01/2020,27.5
09/01/2020,27.6
09/01/2020,26.6
09/01/2020,27.5
09/01/2020,27.6
09/01/2020,26.9
09/01/2020,27.6
09/01/2020,27
09/02/2020,27.5
09/02/2020,25.1
09/02/2020,26.3
09/02/2020,27.1
09/02/2020,27
09/02/2020,27.7
09/02/2020,25.9
09/02/2020,27.5
09/02/2020,27.6
09/02/2020,26.6
09/02/2020,27.6
09/02/2020,27.5
09/02/2020,27
09/02/2020,27.6
09/02/2020,27.1
09/02/2020,27.5
09/02/2020,25.1
09/02/2020,26.4
09/02/2020,27.2
09/02/2020,27.1
09/02/2020,27.7
09/02/2020,25.8
09/02/2020,27.6
09/02/2020,27.7
09/02/2020,26.5
09/02/2020,27.5
09/02/2020,27.6
09/02/2020,27
09/02/2020,27.6
09/02/2020,27
09/02/2020,27.4
09/02/2020,25
09/02/2020,26.5
09/02/2020,27.3
09/02/2020,27.1
09/02/2020,27.6
09/02/2020,25.8
09/02/2020,27.5
09/02/2020,27.6
09/02/2020,26.3
09/02/2020,27.6
09/02/2020,27.4
09/02/2020,27
09/02/2020,27.6
09/02/2020,27
09/02/2020,27.6
09/02/2020,25.2
09/02/2020,26.5
09/02/2020,27.3
09/02/2020,27.1
09/02/2020,27.7
09/02/2020,25.8
09/02/2020,27.7
09/02/2020,27.7
09/02/2020,26.2
09/02/2020,27.6
09/02/2020,27.6
09/02/2020,27.1
09/02/2020,27.6
09/02/2020,27.1
09/02/2020,27.5
09/02/2020,25.2
09/02/2020,26.5
09/02/2020,27.4
09/02/2020,27.1
09/02/2020,27.7
09/02/2020,25.9
09/02/2020,27.6
09/02/2020,27.7
09/02/2020,26.1
09/02/2020,27.6
09/02/2020,27.6
09/02/2020,27.1
09/02/2020,27.7
09/02/2020,27.2
09/02/2020,27.5
09/02/2020,25.2
09/02/2020,26.3
09/02/2020,27.3
09/02/2020,27.1
09/02/2020,27.7
09/02/2020,25.9
09/02/2020,27.6
09/02/2020,27.6
09/02/2020,26
09/02/2020,27.6
09/02/2020,27.5
09/02/2020,27.1
09/02/2020,27.7
09/02/2020,27.1
09/02/2020,27.5
09/02/2020,25.2
09/02/2020,26.2
09/02/2020,27.3
09/02/2020,27.1
09/02/2020,27.6
09/02/2020,25.9
09/02/2020,27.6
09/02/2020,27.6
09/02/2020,25.7
09/02/2020,27.6
09/02/2020,27.6
09/02/2020,27
09/02/2020,27.6
09/02/2020,27
09/02/2020,27.3
09/02/2020,25.1
09/02/2020,26.1
09/02/2020,27.2
09/02/2020,27
09/02/2020,27.5
09/02/2020,25.9
09/02/2020,27.3
09/02/2020,27.5
09/02/2020,25.6
09/02/2020,27.4
09/02/2020,27.4
09/02/2020,26.9
09/02/2020,27.5
09/02/2020,26.8
09/02/2020,27.5
09/02/2020,25.3
09/02/2020,26.2
09/02/2020,27.4
09/02/2020,27.1
09/02/2020,27.7
09/02/2020,26.1
09/02/2020,27.6
09/02/2020,27.6
09/02/2020,25.8
09/02/2020,27.6
09/02/2020,27.6
09/02/2020,27
09/02/2020,27.6
09/02/2020,27
09/02/2020,27.5
09/02/2020,25.5
09/02/2020,26.2
09/02/2020,27.5
09/02/2020,27.3
09/02/2020,27.8
09/02/2020,26.3
09/02/2020,27.6
09/02/2020,27.7
09/02/2020,26
09/02/2020,27.7
09/02/2020,27.8
09/02/2020,27.1
09/02/2020,27.8
09/02/2020,27.3
09/02/2020,27.4
09/02/2020,25.3
09/02/2020,26.1
09/02/2020,27.3
09/02/2020,27.2
09/02/2020,27.7
09/02/2020,26.3
09/02/2020,27.4
09/02/2020,27.6
09/02/2020,25.8
09/02/2020,27.7
09/02/2020,27.6
09/02/2020,27
09/02/2020,27.7
09/02/2020,27.3
09/02/2020,27.1
09/02/2020,26.6
09/02/2020,27.2
09/02/2020,27.7
09/02/2020,27.5
09/02/2020,27.5
09/02/2020,27.4
09/02/2020,27.8
09/02/2020,28
09/02/2020,27.5
09/02/2020,27.9
09/02/2020,28
