date,name,type,value,,date
08/31/2020 20:10:00,3B-01t,Temp,26.8,,08/31/2020 20:10:00
08/31/2020 20:10:00,3B-02t,Temp,26.8,,08/31/2020 20:10:00
08/31/2020 20:10:00,3B-04t,Temp,27,,08/31/2020 20:10:00
08/31/2020 20:10:00,3B-05t,Temp,26.7,,08/31/2020 20:10:00
08/31/2020 20:10:00,3B-06t,Temp,26.6,,08/31/2020 20:10:00
08/31/2020 20:10:00,3A-07t,Temp,23.6,,08/31/2020 20:10:00
08/31/2020 20:10:00,3A-08t,Temp,25.3,,08/31/2020 20:10:00
08/31/2020 20:10:00,3B-08t,Temp,25.1,,08/31/2020 20:10:00
08/31/2020 21:20:00,3A-01t,Temp,26.5,,08/31/2020 21:20:00
08/31/2020 21:20:00,3A-02t,Temp,26.2,,08/31/2020 21:20:00
08/31/2020 21:20:00,3A-03t,Temp,24.9,,08/31/2020 21:20:00
08/31/2020 21:20:00,3A-04t,Temp,26.5,,08/31/2020 21:20:00
08/31/2020 21:20:00,3A-05t,Temp,26.3,,08/31/2020 21:20:00
08/31/2020 21:20:00,3A-06t,Temp,26.7,,08/31/2020 21:20:00
08/31/2020 21:20:00,3B-07t,Temp,25.6,,08/31/2020 21:20:00
08/31/2020 21:20:00,3B-01t,Temp,26.6,,08/31/2020 21:20:00
08/31/2020 21:20:00,3B-02t,Temp,26.6,,08/31/2020 21:20:00
08/31/2020 21:20:00,3B-04t,Temp,26.8,,08/31/2020 21:20:00
08/31/2020 21:20:00,3B-05t,Temp,26.7,,08/31/2020 21:20:00
08/31/2020 21:20:00,3B-06t,Temp,26.5,,08/31/2020 21:20:00
08/31/2020 21:20:00,3A-07t,Temp,26,,08/31/2020 21:20:00
08/31/2020 21:20:00,3A-08t,Temp,26.6,,08/31/2020 21:20:00
08/31/2020 21:20:00,3B-08t,Temp,26.2,,08/31/2020 21:20:00
08/31/2020 22:30:00,3A-01t,Temp,26.7,,08/31/2020 22:30:00
08/31/2020 22:30:00,3A-02t,Temp,26.1,,08/31/2020 22:30:00
08/31/2020 22:30:00,3A-03t,Temp,26,,08/31/2020 22:30:00
08/31/2020 22:30:00,3A-04t,Temp,26.7,,08/31/2020 22:30:00
08/31/2020 22:30:00,3A-05t,Temp,26.4,,08/31/2020 22:30:00
08/31/2020 22:30:00,3A-06t,Temp,26.9,,08/31/2020 22:30:00
08/31/2020 22:30:00,3B-07t,Temp,25.8,,08/31/2020 22:30:00
08/31/2020 22:30:00,3B-01t,Temp,27,,08/31/2020 22:30:00
08/31/2020 22:30:00,3B-02t,Temp,26.9,,08/31/2020 22:30:00
08/31/2020 22:30:00,3B-04t,Temp,27,,08/31/2020 22:30:00
08/31/2020 22:30:00,3B-05t,Temp,26.8,,08/31/2020 22:30:00
08/31/2020 22:30:00,3B-06t,Temp,26.8,,08/31/2020 22:30:00
08/31/2020 22:30:00,3A-07t,Temp,26.1,,08/31/2020 22:30:00
08/31/2020 22:30:00,3A-08t,Temp,26.8,,08/31/2020 22:30:00
08/31/2020 22:30:00,3B-08t,Temp,26.4,,08/31/2020 22:30:00
08/31/2020 23:40:00,3A-01t,Temp,26.7,,08/31/2020 23:40:00
08/31/2020 23:40:00,3A-02t,Temp,26.1,,08/31/2020 23:40:00
08/31/2020 23:40:00,3A-03t,Temp,26.1,,08/31/2020 23:40:00
08/31/2020 23:40:00,3A-04t,Temp,26.8,,08/31/2020 23:40:00
08/31/2020 23:40:00,3A-05t,Temp,26.5,,08/31/2020 23:40:00
08/31/2020 23:40:00,3A-06t,Temp,26.9,,08/31/2020 23:40:00
08/31/2020 23:40:00,3B-07t,Temp,25.9,,08/31/2020 23:40:00
08/31/2020 23:40:00,3B-01t,Temp,27,,08/31/2020 23:40:00
08/31/2020 23:40:00,3B-02t,Temp,26.9,,08/31/2020 23:40:00
08/31/2020 23:40:00,3B-04t,Temp,27.1,,08/31/2020 23:40:00
08/31/2020 23:40:00,3B-05t,Temp,26.8,,08/31/2020 23:40:00
08/31/2020 23:40:00,3B-06t,Temp,26.8,,08/31/2020 23:40:00
08/31/2020 23:40:00,3A-07t,Temp,26.1,,08/31/2020 23:40:00
08/31/2020 23:40:00,3A-08t,Temp,26.8,,08/31/2020 23:40:00
08/31/2020 23:40:00,3B-08t,Temp,26.5,,08/31/2020 23:40:00
09/01/2020 03:00:00,3A-01t,Temp,26.8,,09/01/2020 03:00:00
09/01/2020 03:00:00,3A-02t,Temp,25.6,,09/01/2020 03:00:00
09/01/2020 03:00:00,3A-03t,Temp,26,,09/01/2020 03:00:00
09/01/2020 03:00:00,3A-04t,Temp,26.8,,09/01/2020 03:00:00
09/01/2020 03:00:00,3A-05t,Temp,26.6,,09/01/2020 03:00:00
09/01/2020 03:00:00,3A-06t,Temp,27,,09/01/2020 03:00:00
09/01/2020 03:00:00,3B-07t,Temp,25.9,,09/01/2020 03:00:00
09/01/2020 03:00:00,3B-01t,Temp,27,,09/01/2020 03:00:00
09/01/2020 03:00:00,3B-02t,Temp,27,,09/01/2020 03:00:00
09/01/2020 03:00:00,3B-04t,Temp,27.1,,09/01/2020 03:00:00
09/01/2020 03:00:00,3B-05t,Temp,26.9,,09/01/2020 03:00:00
09/01/2020 03:00:00,3B-06t,Temp,26.9,,09/01/2020 03:00:00
09/01/2020 03:00:00,3A-07t,Temp,25.7,,09/01/2020 03:00:00
09/01/2020 03:00:00,3A-08t,Temp,26.9,,09/01/2020 03:00:00
09/01/2020 03:00:00,3B-08t,Temp,26.5,,09/01/2020 03:00:00
09/01/2020 04:10:00,3A-01t,Temp,26.4,,09/01/2020 04:10:00
09/01/2020 04:10:00,3A-02t,Temp,25.4,,09/01/2020 04:10:00
09/01/2020 04:10:00,3A-03t,Temp,25.9,,09/01/2020 04:10:00
09/01/2020 04:10:00,3A-04t,Temp,26.6,,09/01/2020 04:10:00
09/01/2020 04:10:00,3A-05t,Temp,26.3,,09/01/2020 04:10:00
09/01/2020 04:10:00,3A-06t,Temp,26.6,,09/01/2020 04:10:00
09/01/2020 04:10:00,3B-07t,Temp,25.7,,09/01/2020 04:10:00
09/01/2020 04:10:00,3B-01t,Temp,26.6,,09/01/2020 04:10:00
09/01/2020 04:10:00,3B-02t,Temp,26.6,,09/01/2020 04:10:00
09/01/2020 04:10:00,3B-04t,Temp,26.7,,09/01/2020 04:10:00
09/01/2020 04:10:00,3B-05t,Temp,26.5,,09/01/2020 04:10:00
09/01/2020 04:10:00,3B-06t,Temp,26.6,,09/01/2020 04:10:00
09/01/2020 04:10:00,3A-07t,Temp,25.4,,09/01/2020 04:10:00
09/01/2020 04:10:00,3A-08t,Temp,26.6,,09/01/2020 04:10:00
09/01/2020 04:10:00,3B-08t,Temp,26.3,,09/01/2020 04:10:00
09/01/2020 05:20:00,3A-01t,Temp,26.7,,09/01/2020 05:20:00
09/01/2020 05:20:00,3A-02t,Temp,25.5,,09/01/2020 05:20:00
09/01/2020 05:20:00,3A-03t,Temp,25.9,,09/01/2020 05:20:00
09/01/2020 05:20:00,3A-04t,Temp,26.6,,09/01/2020 05:20:00
09/01/2020 05:20:00,3A-05t,Temp,26.1,,09/01/2020 05:20:00
09/01/2020 05:20:00,3A-06t,Temp,26.8,,09/01/2020 05:20:00
09/01/2020 05:20:00,3B-07t,Temp,25.7,,09/01/2020 05:20:00
09/01/2020 05:20:00,3B-01t,Temp,26.7,,09/01/2020 05:20:00
09/01/2020 05:20:00,3B-02t,Temp,26.7,,09/01/2020 05:20:00
09/01/2020 05:20:00,3B-04t,Temp,26.8,,09/01/2020 05:20:00
09/01/2020 05:20:00,3B-05t,Temp,26.7,,09/01/2020 05:20:00
09/01/2020 05:20:00,3B-06t,Temp,26.7,,09/01/2020 05:20:00
09/01/2020 05:20:00,3A-07t,Temp,25.4,,09/01/2020 05:20:00
09/01/2020 05:20:00,3A-08t,Temp,26.7,,09/01/2020 05:20:00
09/01/2020 05:20:00,3B-08t,Temp,26.4,,09/01/2020 05:20:00
09/01/2020 06:30:00,3A-01t,Temp,26.8,,09/01/2020 06:30:00
09/01/2020 06:30:00,3A-02t,Temp,25.5,,09/01/2020 06:30:00
09/01/2020 06:30:00,3A-03t,Temp,26,,09/01/2020 06:30:00
09/01/2020 06:30:00,3A-04t,Temp,26.7,,09/01/2020 06:30:00
09/01/2020 06:30:00,3A-05t,Temp,26.1,,09/01/2020 06:30:00
09/01/2020 06:30:00,3A-06t,Temp,27,,09/01/2020 06:30:00
09/01/2020 06:30:00,3B-07t,Temp,25.7,,09/01/2020 06:30:00
09/01/2020 06:30:00,3B-01t,Temp,26.8,,09/01/2020 06:30:00
