SampleID,Year,Month,Experiment,Kits,Season,Environment_plus,Incubation,Experiment_Season,Experiment_Other,Incub_Time,Exp_Time,Symptom,Exp_Time_Season
SSt6.2D.GEL,2020,9,Gelidium,PSPro,Summer,Field,TRUE,Gelidium_Summer,Gelidium,Start,G. elegans Start,NA,G. elegans Start_Summer
SSt6.WMS,2020,9,Disease,PSPro,Summer,Field,TRUE,Disease_Summer,Disease,Start,WMS Start,TRUE,WMS Start_Summer
WEnd1.WAT,2020,1,Seawater,PW,Winter,Incubation,TRUE,Seawater_Winter,Seawater,End,Seawater End,NA,Seawater End_Winter
WEnd2.WAT,2020,1,Seawater,PW,Winter,Incubation,TRUE,Seawater_Winter,Seawater,End,Seawater End,NA,Seawater End_Winter
WEnd3.WAT,2020,1,Seawater,PW,Winter,Incubation,TRUE,Seawater_Winter,Seawater,End,Seawater End,NA,Seawater End_Winter
WSt1.1A.04.GEL,2019,12,Gelidium,PSPro,Winter,Field,TRUE,Gelidium_Winter,Gelidium,Start,G. elegans Start,NA,G. elegans Start_Winter
WSt1.1A.COR,2019,12,Coral,PSPro,Winter,Field,TRUE,Coral_Winter,Coral,Start,Coral Start,NA,Coral Start_Winter
WSt1.WMS,2019,12,Disease,PSPro,Winter,Field,TRUE,Disease_Winter,Disease,Start,WMS Start,TRUE,WMS Start_Winter
WSt2.1A.05.GEL,2019,12,Gelidium,PSPro,Winter,Field,TRUE,Gelidium_Winter,Gelidium,Start,G. elegans Start,NA,G. elegans Start_Winter
WSt2.1C.COR,2019,12,Coral,PSPro,Winter,Field,TRUE,Coral_Winter,Coral,Start,Coral Start,NA,Coral Start_Winter
WSt2.WMS,2019,12,Disease,PSPro,Winter,Field,TRUE,Disease_Winter,Disease,Start,WMS Start,TRUE,WMS Start_Winter
WSt3.1A.06.GEL,2019,12,Gelidium,PSPro,Winter,Field,TRUE,Gelidium_Winter,Gelidium,Start,G. elegans Start,NA,G. elegans Start_Winter
WSt3.2C.COR,2019,12,Coral,PSPro,Winter,Field,TRUE,Coral_Winter,Coral,Start,Coral Start,NA,Coral Start_Winter
WSt3.WMS,2019,12,Disease,PSPro,Winter,Field,TRUE,Disease_Winter,Disease,Start,WMS Start,TRUE,WMS Start_Winter
