function	F01-21-GEL	F01-21-WAT	F04-21-GEL	F04-21-SED	F04-21-WAT	F07-20-COR	F07-20-GEL	F07-20-SED	F07-20-WMS	F07-21-COR	F07-21-GEL	F07-21-SED	F07-21-WAT	F09-21-GEL	F09-21-SED	F09-21-WAT	F09-21-WMS	F10-20-GEL	F10-20-SED	F10-20-WAT	F10-20-WMS	SEnd-1A-02-WMS	SEnd-1B-05-WMS	SEnd-1C-04-WMS	SEnd-1C-06-WMS	SEnd-1D-07-WMS	SEnd-2C-04-WMS	SEnd-2C-06-WMS	SEnd-2D-05-WMS	SEnd-2D-07-WMS	SEnd-2D-09-WMS	SEnd1-WAT	SEnd2-WAT	SEnd3-WAT	SSt1-1A-COR	SSt1-1A-GEL	SSt1-WMS	SSt2-1B-COR	SSt2-1B-GEL	SSt2-WMS	SSt3-1C-COR	SSt3-1C-GEL	SSt3-WMS	SSt4-1D-COR	SSt4-1D-GEL	SSt4-WMS	SSt5-2C-COR	SSt5-2C-GEL	SSt5-WMS	SSt6-2D-COR	SSt6-2D-GEL	SSt6-WMS	WEnd1-WAT	WEnd2-WAT	WEnd3-WAT	WSt1-1A-04-GEL	WSt1-1A-COR	WSt1-WMS	WSt2-1A-05-GEL	WSt2-1C-COR	WSt2-WMS	WSt3-1A-06-GEL	WSt3-2C-COR	WSt3-WMS
RXN-12490	5896.0	7269.0	6991.0	8773.5	8481.5	6096.0	4205.5	1222.5	4947.74	4386.0	7121.5	10642.16	6723.0	5772.5	3720.5	8791.0	3508.37	4064.84	1738.0	7056.33	2643.4	4569.32	6383.0	3731.75	2331.5	3716.59	5556.25	4093.68	5474.25	893.0	5540.17	6756.24	5818.65	5444.25	4327.54	11196.42	4266.43	5470.0	2842.25	5323.93	3655.72	5664.54	2657.7	3739.5	4700.0	4681.0	3091.0	7154.0	4794.5	2338.6	3804.9	2103.4	3568.56	10478.41	12218.0	8525.0	7073.5	6516.5	6241.0	6097.0	6611.0	5872.24	7525.0	6033.5
RXN-12495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	293.0	0.0	0.0	0.0	0.0	0.0	0.0	375.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN-12496	7097.0	7798.0	3609.5	621.0	4664.5	563.5	2963.0	967.5	639.0	5773.0	6444.0	2972.0	7125.0	7591.5	337.5	5004.0	2627.5	6350.5	352.0	4456.5	4813.0	584.0	1499.0	3810.0	1216.0	2246.0	2696.0	1809.0	1944.5	1905.5	3757.0	3150.5	2872.0	3104.0	2837.0	6010.0	2210.0	3133.5	8528.0	3679.0	2468.5	5319.5	2774.5	4425.0	6022.5	2176.5	2783.5	3490.0	1193.0	1983.0	3446.5	485.0	726.0	6265.75	5532.5	2333.5	1950.5	5391.0	3651.5	1601.5	5611.0	1641.5	2585.5	4857.0
RXN-12518	789.5	46.5	918.0	0.0	0.0	67.0	341.0	37.5	0.0	238.5	1458.5	198.0	340.5	492.0	46.0	123.5	115.0	369.0	34.0	0.0	109.0	0.0	34.0	0.0	0.0	0.0	471.0	17.0	74.5	63.0	35.0	102.5	62.5	17.0	87.0	1546.0	15.0	206.0	22.5	0.0	266.5	619.0	0.0	97.0	172.0	156.5	233.5	1012.0	0.0	81.0	76.5	0.0	0.0	103.5	265.0	699.5	67.5	620.5	649.0	345.0	635.5	742.0	299.0	588.5
RXN-12519	460.5	244.0	739.0	2790.0	342.0	631.0	17.0	32.0	963.62	196.5	555.0	2547.33	382.0	223.0	0.0	723.5	582.5	371.67	704.0	1399.33	627.0	0.0	985.0	0.0	61.0	141.67000000000002	1238.5	62.0	1444.5	0.0	1996.0	1133.62	1148.2	273.25	218.27	1405.5	877.5	288.0	425.0	1611.5	9.36	886.77	874.0	356.0	1381.0	348.0	76.0	1087.5	988.5	236.0	475.0	525.0	1092.28	279.58	977.5	723.0	918.0	581.5	339.5	856.0	1489.5	1179.12	332.0	114.5
RXN-12521	1276.0	971.0	1285.5	2716.0	1481.5	1444.5	461.0	165.5	2387.62	784.5	1082.0	2746.33	1633.5	559.0	423.0	1516.5	1186.5	614.6700000000001	738.0	2002.0	1044.4	1732.33	2532.0	1234.0	901.0	994.17	1752.5	2471.67	2142.0	373.5	2447.5	1316.12	1511.9499999999998	766.5	240.77	2465.92	1259.17	653.5	1246.5	2013.17	364.86	1054.27	1009.8	548.5	1582.0	561.0	387.5	772.0	1578.5	526.6	1000.9	728.4	1585.28	918.33	1564.5	1841.5	1317.0	1454.0	1111.0	1479.5	2216.0	1816.62	620.5	266.5
RXN-12545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN-12558	569.5	494.5	410.5	2649.4300000000003	1151.5	621.5	732.79	147.0	2010.0	247.0	183.0	1690.37	1319.5	653.0	86.5	1340.5	1420.43	569.81	589.0	1953.33	936.5	1215.5	1384.5	785.5	496.0	343.34000000000003	990.0	270.5	1642.5	1109.5	2135.5	1596.62	1971.53	398.25	174.54	1887.75	830.0	319.0	465.5	2547.0	165.72	770.54	1167.5	585.5	2640.0	737.0	198.0	466.0	1731.0	236.0	597.0	879.0699999999999	913.61	560.41	1600.5	678.0	248.5	560.5	770.5	1032.5	1358.5	949.36	408.0	197.5
RXN-12559	569.5	494.5	410.5	2649.4300000000003	1151.5	621.5	732.79	147.0	2010.0	247.0	183.0	1690.37	1319.5	653.0	86.5	1340.5	1420.43	569.81	589.0	1953.33	936.5	1215.5	1384.5	785.5	496.0	343.34000000000003	990.0	270.5	1642.5	1109.5	2135.5	1596.62	1971.53	398.25	174.54	1887.75	830.0	319.0	465.5	2547.0	165.72	770.54	1167.5	585.5	2640.0	737.0	198.0	466.0	1731.0	236.0	597.0	879.0699999999999	913.61	560.41	1600.5	678.0	248.5	560.5	770.5	1032.5	1358.5	949.36	408.0	197.5
RXN-12560	814.5	449.5	578.0	0.0	769.0	845.5	63.0	71.0	673.62	739.0	724.0	334.33	179.5	572.0	242.0	1065.0	1132.0	617.34	0.0	728.3299999999999	692.0	283.0	693.0	502.0	637.0	314.17	1502.5	147.0	1494.5	400.5	1903.5	127.0	449.33	351.0	415.27	816.75	714.5	386.0	697.5	727.0	865.36	360.27	715.5	937.0	428.0	751.0	118.0	836.5	735.0	120.0	287.0	563.0	127.33	493.08	908.0	994.0	803.0	730.0	1425.0	1027.0	545.5	985.12	629.0	535.0
