ASV.ID,F01.21.GEL,F01.21.WAT,F04.21.GEL,F04.21.SED,F04.21.WAT,F07.20.COR,F07.20.GEL,F07.20.SED,F07.20.WMS,F07.21.COR,F07.21.GEL,F07.21.SED,F07.21.WAT,F09.21.GEL,F09.21.SED,F09.21.WAT,F09.21.WMS,F10.20.GEL,F10.20.SED,F10.20.WAT,F10.20.WMS,SEnd.1A.02.WMS,SEnd.1B.05.WMS,SEnd.1C.04.WMS,SEnd.1C.06.WMS,SEnd.1D.07.WMS,SEnd.2C.04.WMS,SEnd.2C.06.WMS,SEnd.2D.05.WMS,SEnd.2D.07.WMS,SEnd.2D.09.WMS,SEnd1.WAT,SEnd2.WAT,SEnd3.WAT,SSt1.1A.COR,SSt1.1A.GEL,SSt1.WMS,SSt2.1B.COR,SSt2.1B.GEL,SSt2.WMS,SSt3.1C.COR,SSt3.1C.GEL,SSt3.WMS,SSt4.1D.COR,SSt4.1D.GEL,SSt4.WMS,SSt5.2C.COR,SSt5.2C.GEL,SSt5.WMS,SSt6.2D.COR,SSt6.2D.GEL,SSt6.WMS,WEnd1.WAT,WEnd2.WAT,WEnd3.WAT,WSt1.1A.04.GEL,WSt1.1A.COR,WSt1.WMS,WSt2.1A.05.GEL,WSt2.1C.COR,WSt2.WMS,WSt3.1A.06.GEL,WSt3.2C.COR,WSt3.WMS
ASV78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,54,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
ASV79,0,72,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,81,0,0,0,61,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0
ASV80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,150,0,112,171,91,0,0,0,0,0,0,0,0,0,142,0,0,242,0,0,137,0,0,48,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0
ASV81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,237,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV82,0,0,0,0,358,0,0,0,0,0,0,0,55,0,0,308,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,352,232,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0
ASV83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,93,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV85,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV86,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,135,77,0,45,137,134,0,159,474,67,0,0,0,137,86,0,0,0,0,0,0,0,0,828,0,0,364,0,0,104,0,0,192,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0
ASV88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,414,0,0,0,0,0,0,0,62,0,0,0,247,291,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV89,47,0,403,0,0,206,0,0,0,0,0,0,0,0,0,0,240,312,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,191,154,0,0,145,0,413,147,342,0,0,35,0,315,0,0,315,0,0,0,0
ASV90,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV91,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,220,0,0,104,38,187,0,0,0,0,0,0,183,0,0,320,0,0,172,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0
ASV92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0
