"","SEnd.1A.02.WMS","SEnd.1B.05.WMS","SEnd.1C.04.WMS","SEnd.1C.06.WMS","SEnd.1D.07.WMS","SEnd.2C.04.WMS","SEnd.2C.06.WMS","SEnd.2D.05.WMS","SEnd.2D.07.WMS","SEnd.2D.09.WMS","SEnd1.WAT","SEnd2.WAT","SEnd3.WAT","SSt1.1A.COR","SSt1.1A.GEL","SSt1.WMS","SSt2.1B.COR","SSt2.1B.GEL","SSt2.WMS","SSt3.1C.COR","SSt3.1C.GEL","SSt3.WMS","SSt4.1D.COR","SSt4.1D.GEL","SSt4.WMS","SSt5.2C.COR","SSt5.2C.GEL","SSt5.WMS","SSt6.2D.COR","SSt6.2D.GEL","SSt6.WMS","WEnd1.WAT","WEnd2.WAT","WEnd3.WAT","WSt1.1A.04.GEL","WSt1.1A.COR","WSt1.WMS","WSt2.1A.05.GEL","WSt2.1C.COR","WSt2.WMS","WSt3.1A.06.GEL","WSt3.2C.COR","WSt3.WMS"
"ASV405",0,0,0,0,0,0,0,0,0,0,0.0061986672865334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108835576360445,0.019275145920999,0,0,0,0,0,0
"ASV690",0,0,0.00909956618347265,0,0,0,0,0,0,0,0,0,0,0,0,0.00366578182277841,0,0,0.00816894064482489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00620039682539683,0,0,0,0,0,0,0,0,0,0,0,0.0102008288173414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00887789259205356,0,0
"ASV324",0,0,0,0,0,0,0.0297932001402033,0,0,0,0,0,0,0,0,0,0,0,0.00590944642391588,0,0,0.0229588546369147,0,0,0.0281359906213365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107699024887207,0,0
"ASV173",0,0,0,0,0,0.0494842037395229,0,0.0249546912031228,0,0,0,0,0,0,0,0.0155479711793705,0,0,0,0,0,0.0150909325422417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00590944642391588,0,0,0,0,0,0,0,0,0,0,0,0.005978898007034,0,0,0,0,0,0,0,0,0,0,0,0
"ASV800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00551896029909204,0,0,0,0,0,0,0,0,0,0,0.00179562520404832,0,0,0,0,0,0,0,0.00522264980758659,0
"ASV72",0,0,0,0,0,0,0,0,0,0.0053898670499461,0,0,0,0,0.00396825396825397,0,0,0.0932969111157806,0,0,0.00629820051413882,0,0,0.0167072181670722,0,0,0,0,0,0.00700841009211053,0,0,0,0,0.0133276010318143,0,0,0,0,0,0,0,0
"ASV128",0.0136263736263736,0,0,0,0,0,0.0380301437083771,0,0.0472525988929391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV65",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158483530142946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341628005061156,0,0,0,0,0,0,0,0,0,0.00880260460629446,0,0,0,0
"ASV1083",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00248601615910503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV598",0.0105494505494505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138223621185165,0,0,0,0,0,0,0,0,0,0,0
"ASV729",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121387283236994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172910662824207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV628",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142945929148539,0.00355489417989418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00962067069818582,0
"ASV63",0.00782417582417582,0,0,0,0,0,0,0,0,0.0127560186848724,0,0,0,0,0,0,0,0,0,0,0,0.0264413775312782,0,0,0.0177152533541748,0,0,0.0147331786542923,0,0,0.017936694021102,0,0,0,0,0,0,0,0,0,0,0,0
"ASV49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0682316522636399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132250580046404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
