"","F01.21.GEL","F01.21.WAT","F04.21.GEL","F04.21.WAT","WSt1.1A.04.GEL","WSt1.1A.COR","WSt1.WMS","WSt2.1A.05.GEL","WSt2.1C.COR","WSt3.1A.06.GEL","WSt3.2C.COR","WSt3.WMS"
"ASV217",0,0,0.0262765560939247,0,0,0,0,0,0.00687326661039431,0,0,0
"ASV956",0,0,0,0,0,0.00339379754242247,0,0,0,0,0,0
"ASV718",0,0,0,0,0,0,0,0,0,0,0.00192413413963716,0
"ASV371",0,0,0.00959746552366754,0,0,0,0,0,0,0,0,0
"ASV552",0,0.00344611528822055,0,0.0166836474783495,0,0,0,0,0,0,0,0
"ASV153",0,0.0596804511278195,0,0.0226693835965359,0,0,0,0,0,0,0,0
"ASV478",0,0,0.0041930674617965,0,0,0,0,0,0,0,0,0
"ASV33",0.0293818366827779,0,0,0,0.0343938091143594,0.0485664131070802,0.0609474684403421,0.0866790747141718,0.00602918123718799,0,0.0269378779549203,0.0513591671486408
"ASV450",0.0115746629356398,0,0,0,0,0,0,0,0,0,0,0
"ASV1028",0,0,0,0,0,0,0,0,0,0,0.00256551218618288,0
"ASV244",0.00699567540066141,0,0.0104360790160268,0,0,0,0,0,0,0,0,0
"ASV676",0,0,0,0,0,0,0,0,0.00602918123718799,0,0,0
"ASV537",0,0.0217731829573935,0,0,0,0,0,0,0,0,0,0
"ASV8",0.0531671330450267,0,0.0283265001863586,0,0.071152192605331,0,0,0,0,0,0.0480117280557083,0.0260266049739734
"ASV231",0,0,0.0315877748788669,0,0,0,0,0,0,0,0.0147516950705516,0
"ASV657",0,0,0,0,0,0.0119368051492101,0.00393647346273924,0,0,0,0,0
"ASV253",0,0,0,0,0.00236457437661221,0,0.021718474277182,0.00558362137729327,0,0,0.00375664284405351,0
"ASV1059",0,0,0,0,0,0,0,0,0,0,0,0.00254482359745518
"ASV686",0,0,0.0177972418934029,0,0,0,0,0,0,0,0,0
"ASV311",0,0,0.00139768915393217,0,0.00107480653482373,0,0,0,0,0,0.0116364302730438,0
"ASV241",0,0,0.01332463660082,0,0,0,0,0,0,0,0,0
"ASV100",0,0,0,0.0189760570555273,0,0,0,0,0,0,0,0
"ASV82",0,0.0407268170426065,0,0.0455934793683138,0,0,0,0,0,0,0,0
"ASV544",0,0,0,0,0,0.00737273259215916,0,0.0119649029513427,0.0132641987218136,0,0,0
"ASV606",0,0,0,0,0,0,0.0160173747794217,0,0,0,0,0
"ASV458",0,0,0,0,0,0,0,0,0,0,0.0153014476818765,0
"ASV1026",0,0,0,0,0,0,0,0.00372241425152885,0,0,0,0
"ASV129",0,0.031484962406015,0,0.0150280183392766,0,0,0,0,0.00108525262269384,0,0,0.00520532099479468
"ASV122",0,0,0.0190085724934775,0,0.0153697334479794,0,0,0.0635469290082425,0,0.0400232862756513,0,0
"ASV104",0.0482065632154668,0,0,0,0,0,0,0,0,0,0,0
"ASV808",0.00178071737471381,0,0,0,0,0,0,0,0,0,0,0.00312319259687681
"ASV382",0,0,0,0.0376974019358125,0,0,0,0,0,0,0,0
"ASV766",0,0,0,0,0.00795356835769562,0,0,0,0,0,0.0068719076415613,0
"ASV98",0.0460442635461715,0,0.00614983227730153,0,0,0,0,0,0,0,0,0
"ASV732",0,0,0,0,0,0,0,0.00491890454666312,0,0,0,0
"ASV1051",0,0,0,0,0,0.00269163253364541,0,0,0,0,0,0
"ASV299",0,0.0238095238095238,0,0.0187213448802853,0,0,0,0,0,0,0,0
"ASV333",0.00852200457898753,0,0,0,0,0,0,0.0113001861207126,0,0,0,0
"ASV592",0,0,0,0,0.0130051590713672,0,0,0,0,0,0,0
"ASV882",0,0,0,0,0,0.00631948507899356,0,0,0,0,0,0
"ASV536",0,0,0,0,0,0,0,0,0,0.020375491194877,0,0
"ASV397",0,0,0,0,0,0,0,0,0.0227903050765706,0,0,0
"ASV237",0,0,0,0,0,0.0197776477472206,0,0,0,0.0212487265318003,0.0251969946857248,0
"ASV1085",0.00190791147290766,0,0,0,0,0,0,0,0,0,0,0
"ASV894",0.00661409310607988,0,0,0,0,0,0,0,0,0,0,0
"ASV193",0,0.0291353383458647,0,0,0,0,0,0,0,0,0,0
"ASV263",0,0,0,0,0,0,0,0,0.03014590618594,0,0,0
"ASV520",0,0,0,0,0,0.0170860152135752,0,0,0,0,0,0
"ASV164",0,0,0.0293514722325755,0,0,0,0,0,0,0,0,0
"ASV757",0,0,0,0,0.00526655202063629,0,0,0,0,0,0,0
"ASV997",0,0,0,0,0,0,0,0,0,0,0,0.00393290919606709
"ASV110",0,0,0,0,0,0,0.0226686575268087,0,0,0,0,0.0238288027761712
"ASV870",0,0,0,0,0,0,0.00760146599701371,0,0,0,0,0
"ASV967",0.00470618163317222,0,0,0,0,0,0,0,0,0,0,0
"ASV714",0,0,0.0033544539694372,0,0,0.0102984201287303,0,0.00518479127891518,0,0,0.00155763239875389,0
"ASV543",0,0,0,0,0.00537403267411866,0,0,0,0.0143494513445074,0,0,0.00543666859456333
"ASV502",0,0,0,0,0.00838349097162511,0,0,0.0199415049189045,0,0,0,0
"ASV459",0,0,0.0154677599701826,0,0,0,0,0,0,0,0,0
"ASV820",0,0,0,0,0,0,0,0,0,0,0,0.00763447079236553
"ASV400",0,0,0,0,0,0.00819192510239906,0,0,0,0,0,0
"ASV923",0,0,0,0,0,0,0,0,0.00108525262269384,0.00654926502692476,0,0
"ASV27",0,0,0,0,0.0117153912295787,0.00994733762434172,0,0,0,0,0,0
"ASV326",0,0,0,0,0,0.00550029256875366,0,0,0,0,0.0197910940076965,0
"ASV551",0.00750445179343678,0,0,0,0,0,0,0,0.0159170384661763,0,0,0
"ASV626",0,0,0,0.0140091696383087,0,0,0,0,0,0,0,0
"ASV204",0.013864156703129,0,0.0194744688781215,0,0,0,0,0,0,0,0,0
"ASV178",0,0.0255325814536341,0,0.0388436067244014,0,0,0,0,0,0,0,0
"ASV622",0,0,0,0,0,0.00456407255705091,0.00515813764083073,0,0,0,0,0
"ASV603",0,0.018483709273183,0,0,0,0,0,0,0,0,0,0
"ASV936",0,0,0,0,0,0,0,0,0.00518509586398167,0,0,0
"ASV477",0,0,0,0,0,0,0,0.00252592395639458,0,0,0,0
"ASV776",0,0,0,0,0,0,0,0,0,0,0.00678028220634048,0
"ASV357",0.00623251081149835,0,0,0,0,0,0,0,0,0,0,0
"ASV388",0,0.0222431077694236,0,0,0,0,0,0,0,0,0,0
"ASV833",0,0,0,0,0,0,0,0,0,0,0.00586402785413231,0
"ASV793",0.000890358687356907,0,0,0,0,0,0,0,0,0,0,0
"ASV640",0,0,0.00987700335445397,0,0,0,0,0,0,0,0,0
"ASV583",0,0,0,0,0,0,0,0,0.00325575786808151,0.0180468636297482,0,0.00300751879699248
"ASV682",0,0,0,0.0122261844116149,0,0,0,0,0,0,0,0
"ASV1000",0,0,0,0,0,0,0,0,0.00397925961654407,0,0,0
"ASV160",0.0287458661918087,0,0,0,0,0,0.0249762454187593,0,0.0142288677197637,0,0.0307861462341946,0.0134181607865818
"ASV572",0,0,0,0,0,0,0.0138455273517035,0,0,0,0,0
"ASV69",0.008140422284406,0,0,0,0.00902837489251935,0,0,0.013028449880351,0,0.0330374035802649,0,0
"ASV989",0,0,0,0,0,0,0.00475091624813357,0,0,0,0,0
"ASV74",0.00330704655303994,0,0.00838613492359299,0,0.0210662080825451,0.0111176126389702,0,0.000265886732252061,0,0,0.00998717243906909,0.0621168305378832
"ASV1018",0,0,0,0,0.00311693895098882,0,0,0,0,0,0,0
"ASV79",0,0.0112781954887218,0.0908497950055908,0,0.0103181427343078,0,0,0,0,0,0,0
"ASV78",0,0,0,0,0,0,0,0,0.00337634149282527,0,0,0
"ASV755",0,0,0,0.00967906265919511,0,0,0,0,0,0,0,0
"ASV61",0,0,0,0,0,0,0.0279625356318719,0,0.0144700349692512,0.0347838742541115,0.0196078431372549,0.0549450549450549
"ASV440",0,0,0,0,0.0102106620808255,0,0,0,0,0,0,0
"ASV330",0,0,0,0.0178298522669384,0,0,0,0,0,0,0,0
"ASV1014",0,0,0,0,0,0,0,0,0,0,0,0.00347021399652979
"ASV1073",0,0,0,0,0,0.00222352252779403,0,0,0,0,0,0
"ASV835",0,0,0,0,0,0,0,0,0,0.00916897103769466,0,0
"ASV1075",0,0,0,0,0,0,0,0,0,0,0,0.0021978021978022
"ASV484",0,0,0,0,0,0,0,0,0,0,0.0144768187648891,0
"ASV965",0,0,0,0,0,0,0,0,0,0,0.00348176653839106,0
"ASV663",0,0,0,0,0,0,0,0,0,0,0.00320689023272861,0
"ASV710",0,0,0,0,0,0,0.0120809013166825,0,0,0,0,0
"ASV964",0,0,0,0,0,0.00105324751316559,0,0,0,0,0.000916254352208173,0
"ASV390",0,0,0.0177040626164741,0,0,0,0,0,0,0,0,0
"ASV593",0,0.018796992481203,0,0.0234335201222618,0,0,0,0,0,0,0,0
"ASV838",0,0,0,0,0,0,0,0,0,0,0.00668865677111966,0
"ASV527",0,0,0,0,0,0,0,0,0,0,0,0.0328513591671486
"ASV750",0,0,0,0,0,0,0,0,0,0.00422063746179595,0,0
"ASV689",0,0,0,0,0,0,0.00461517578390118,0,0,0,0,0
"ASV711",0.0111930806410583,0,0,0,0,0,0,0,0,0,0,0
"ASV119",0.0052149580259476,0,0,0,0,0,0,0,0,0,0,0
"ASV472",0.0204782498092089,0,0,0,0,0,0,0,0,0,0,0
"ASV358",0,0,0,0,0,0,0,0,0.0142288677197637,0,0.00641378046545721,0
"ASV301",0,0,0,0,0,0,0,0,0.0270107319426022,0,0,0.0187391555812608
"ASV294",0,0,0,0,0,0,0,0,0,0.0107699024887207,0,0
"ASV34",0,0,0,0,0,0,0,0,0.0200168817074641,0,0,0
"ASV171",0,0,0,0,0,0,0,0,0,0.0448260806287294,0,0
"ASV402",0,0,0,0,0,0,0.00556535903352789,0,0,0,0.0047645226314825,0.021283979178716
"ASV132",0,0,0,0,0.0180567497850387,0,0.0162888557078865,0.0127625631480989,0.0291812371879899,0,0,0.0290341237709659
"ASV40",0,0,0.0170518076779724,0,0,0,0,0,0,0,0,0
