"","F01.21.GEL","F01.21.WAT","F04.21.GEL","F04.21.SED","F04.21.WAT","F07.20.COR","F07.20.GEL","F07.20.SED","F07.20.WMS","F07.21.COR","F07.21.GEL","F07.21.SED","F07.21.WAT","F09.21.GEL","F09.21.SED","F09.21.WAT","F09.21.WMS","F10.20.GEL","F10.20.SED","F10.20.WAT","F10.20.WMS","SSt1.1A.COR","SSt1.1A.GEL","SSt1.WMS","SSt2.1B.COR","SSt2.1B.GEL","SSt2.WMS","SSt3.1C.COR","SSt3.1C.GEL","SSt3.WMS","SSt4.1D.COR","SSt4.1D.GEL","SSt4.WMS","SSt5.2C.COR","SSt5.2C.GEL","SSt5.WMS","SSt6.2D.COR","SSt6.2D.GEL","SSt6.WMS","WSt1.1A.04.GEL","WSt1.1A.COR","WSt2.1A.05.GEL","WSt2.1C.COR","WSt3.1A.06.GEL","WSt3.2C.COR"
"ASV824",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048776455026455,0,0,0,0,0,0.00475578406169666,0,0,0,0,0,0,0,0,0.00540648778534241,0,0,0,0,0,0,0
"ASV706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128612716763006,0,0,0.00516289834431191,0,0,0.00941402497598463,0,0,0,0,0,0,0,0,0,0,0
"ASV825",0,0,0.00456578456951174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155161881490531,0,0,0,0.0129752564876282,0,0,0.0447478194918468,0,0,0.0240723038150691,0,0,0.025667483554753,0,0,0.0870131561807998,0,0,0.0979118329466357,0,0,0.0164126611957796,0,0,0,0,0,0
"ASV11",0,0,0,0,0.0258532857870606,0,0,0,0,0,0,0,0.0630505331478906,0,0,0.0629505664263646,0,0,0,0.0677146311970979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00608325367167811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00488789714164276,0,0,0,0,0,0,0,0,0,0
"ASV1020",0.00356143474942763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172826375963839,0,0,0
"ASV113",0,0.0493421052631579,0,0,0,0,0,0,0,0,0,0,0.0190078813166435,0,0,0.0476313079299691,0,0,0,0.0376360338573156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV346",0.0262019842279318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00669642857142857,0,0.0165198237885463,0,0,0.00404624277456647,0.0134961439588689,0,0,0.013463098134631,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV855",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048776455026455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00430639545537841
"ASV508",0,0,0,0.0233395406579764,0,0,0,0,0,0,0,0.014597738996817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV35",0,0,0,0,0,0,0,0,0.0298383754662246,0,0,0,0,0,0,0,0,0,0,0,0.0383222691611346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV295",0,0,0.00670890793887439,0,0,0,0,0,0,0,0.00802522212668386,0,0,0.0225323262066317,0,0,0,0,0.0243727598566308,0,0,0,0,0.00657312602705094,0,0,0,0,0,0,0.040591062844935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV204",0.013864156703129,0,0.0194744688781215,0,0,0,0.0520086083213773,0,0,0,0.0103181427343078,0,0,0,0,0,0,0,0,0,0,0,0.0121527777777778,0,0,0,0,0,0,0,0,0,0,0,0.0193390712995431,0,0,0,0,0,0,0,0,0,0
"ASV806",0,0,0,0,0,0,0.0121951219512195,0,0,0,0.00401261106334193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00214890658576665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00769462884731442,0,0,0.0163064087978764,0,0,0.0119057964717129,0,0,0.0198632787308139,0,0,0.0200599192392862,0,0,0.00498839907192575,0,0,0,0,0,0,0,0,0
"ASV843",0,0.00955513784461153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064993954050786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259010384850336,0,0,0,0.0515992757996379,0,0,0,0,0,0,0,0,0,0,0,0.0122443662889149,0,0,0,0,0,0,0,0,0,0,0,0
"ASV569",0,0,0,0,0,0,0,0,0,0.0228260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV297",0,0,0,0,0,0,0,0,0.00528387898881061,0,0,0,0,0,0.00176211453744493,0,0,0,0,0,0,0,0,0.0192137530021489,0,0,0.0177283392717476,0,0,0.0121243389655617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127445932028836,0,0,0,0.0126964933494559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV46",0.0311625540574917,0,0.0186358553857622,0.0130353817504655,0,0.061786931397244,0,0,0.0338789888106092,0,0,0.00757326308857425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245501285347044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071961894953656,0,0,0,0.0400544135429262,0,0,0,0.00176968777651372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00922007255139057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV33",0.0293818366827779,0,0,0.017008069522036,0,0.0315602311453549,0,0.0196382428940568,0.0127434728553668,0.0175724637681159,0.00200630553167097,0.0245856656788497,0.0108174934322361,0.0307258993726796,0.0405286343612335,0,0,0.00210368144252442,0,0,0,0.105811062771908,0.00529100529100529,0.0366578182277841,0.0552234109502832,0.0787980668207607,0.00747371165377596,0.0241329479768786,0.0263496143958869,0.0190893847542887,0.0959586968132455,0.03779399837794,0.0122443662889149,0.0958693563880884,0.00871320794814579,0.0109048723897912,0.0105440742302826,0.0979175010012014,0.0041031652989449,0.0343938091143594,0.0485664131070802,0.0866790747141718,0.00602918123718799,0,0.0269378779549203
